,id_municipio,id_municipio_nome,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
279,3113305,Carangola,2002,112582000,10783000,101798000,4008000,7974000,58350000,31467000
280,3118908,Cordisburgo,2002,24158000,1116000,23042000,6413000,1650000,6792000,8186000
281,3121001,Datas,2002,10693000,436000,10257000,1140000,496000,3272000,5349000
282,3122405,Divisa Nova,2002,21093000,836000,20256000,7177000,1297000,5964000,5817000
283,3122702,Dom Silvério,2002,19352000,1646000,17706000,1796000,2270000,8226000,5414000
284,3122801,Dom Viçoso,2002,7510000,190000,7320000,1293000,314000,1944000,3768000
285,3124104,Esmeraldas,2002,123670000,8467000,115203000,10147000,11382000,47336000,46338000
286,3125903,Ferros,2002,28003000,1561000,26442000,4327000,1426000,9607000,11082000
287,3134509,Itutinga,2002,30293000,602000,29691000,5267000,16040000,3827000,4557000
288,3138625,Limeira do Oeste,2002,35468000,1828000,33640000,15304000,2064000,8310000,7962000
289,3139706,Maravilhas,2002,25385000,2226000,23158000,3029000,5442000,8396000,6291000
290,3144805,Nova Lima,2002,903043000,82272000,820771000,121000,395201000,344710000,80739000
291,3146255,Padre Carvalho,2002,9286000,378000,8908000,410000,316000,2423000,5759000
292,3154903,Rio Casca,2002,66330000,9181000,57149000,6699000,8546000,26478000,15425000
293,3158003,Santa Maria de Itabira,2002,39416000,11256000,28160000,2418000,2924000,13194000,9624000
294,3158508,Santana de Pirapama,2002,22672000,949000,21723000,6967000,1737000,4754000,8265000
295,3160801,São Bento Abade,2002,25489000,653000,24836000,15419000,634000,4163000,4621000
296,3161700,São Gonçalo do Abaeté,2002,33557000,2636000,30921000,10843000,1751000,11460000,6867000
297,3166402,Seritinga,2002,6841000,493000,6348000,655000,311000,2672000,2710000
298,3168606,Teófilo Otoni,2002,515887000,51445000,464442000,16398000,64272000,272033000,111739000
299,3300803,Cachoeiras de Macacu,2002,339833000,53707000,286126000,14155000,40434000,126245000,105292000
300,3500303,Aguaí,2002,241803000,15255000,226549000,54744000,67511000,74497000,29796000
301,3503950,Aspásia,2002,9528000,208000,9320000,4088000,625000,2019000,2587000
302,3507407,Borborema,2002,121708000,5070000,116638000,56151000,8249000,38815000,13423000
303,3511300,Cedral,2002,53369000,6693000,46676000,10661000,9929000,17762000,8323000
304,3512605,Coronel Macedo,2002,29189000,555000,28634000,14514000,1849000,5895000,6377000
305,3521150,Ipiguá,2002,33546000,631000,32915000,22138000,1606000,4013000,5158000
306,3537701,Piacatu,2002,31449000,1138000,30310000,10862000,4511000,9221000,5715000
307,3541000,Praia Grande,2002,1164371000,71057000,1093313000,551000,226883000,607253000,258626000
308,3543402,Ribeirão Preto,2002,6943154000,888309000,6054846000,57751000,1144978000,4272876000,579241000
309,4100400,Almirante Tamandaré,2002,364720000,41064000,323656000,8565000,114345000,120177000,80569000
